infiniband/hw/ipath/ipath_intr.c 6 0
infiniband/hw/ipath/ipath_verbs.c 2 11
infiniband/hw/ipath/ipath_iba6110.c 4 0
infiniband/hw/ipath/ipath_qp.c 4 1
infiniband/hw/ipath/ipath_srq.c 0 1
infiniband/hw/ipath/ipath_user_sdma.c 6 4
infiniband/hw/ipath/ipath_diag.c 0 4
infiniband/hw/ipath/ipath_cq.c 2 0
infiniband/hw/ipath/ipath_mad.c 4 0
infiniband/hw/ipath/ipath_ud.c 0 1
infiniband/hw/ipath/ipath_mr.c 4 2
infiniband/hw/ipath/ipath_keys.c 0 2
infiniband/hw/ipath/ipath_ruc.c 1 2
infiniband/hw/ipath/ipath_sysfs.c 4 0
infiniband/hw/ipath/ipath_sdma.c 0 3
infiniband/hw/qib/qib_user_pages.c 2 0
infiniband/hw/qib/qib_ruc.c 2 3
infiniband/hw/qib/qib_uc.c 0 4
infiniband/hw/qib/qib_iba7220.c 10 1
infiniband/hw/qib/qib_cq.c 2 0
infiniband/hw/qib/qib_user_sdma.c 6 4
infiniband/hw/qib/qib_verbs_mcast.c 0 3
infiniband/hw/qib/qib_eeprom.c 2 0
infiniband/hw/qib/qib_sysfs.c 5 0
infiniband/hw/qib/qib_mad.c 8 0
infiniband/hw/qib/qib_driver.c 5 0
infiniband/hw/qib/qib_keys.c 1 2
infiniband/hw/qib/qib_sd7220.c 15 3
infiniband/hw/qib/qib_ud.c 1 3
infiniband/hw/qib/qib_qsfp.c 1 4
infiniband/hw/qib/qib_srq.c 0 1
infiniband/hw/qib/qib_twsi.c 3 4
infiniband/hw/qib/qib_sdma.c 0 3
infiniband/hw/qib/qib_file_ops.c 16 0
infiniband/hw/qib/qib_intr.c 1 0
infiniband/hw/qib/qib_diag.c 0 8
infiniband/hw/qib/qib_iba6120.c 6 0
infiniband/hw/qib/qib_rc.c 2 1
infiniband/hw/qib/qib_tx.c 9 1
infiniband/hw/qib/qib_mr.c 4 0
infiniband/hw/qib/qib_verbs.c 6 10
infiniband/hw/qib/qib_iba7322.c 46 8
infiniband/hw/qib/qib_init.c 24 1
infiniband/hw/qib/qib_qp.c 4 4
infiniband/hw/qib/qib_fs.c 2 0
infiniband/hw/amso1100/c2_qp.c 0 3
infiniband/hw/amso1100/c2_vq.c 0 1
infiniband/hw/amso1100/c2_cq.c 1 2
infiniband/hw/amso1100/c2_provider.c 6 0
infiniband/hw/amso1100/c2_mm.c 2 1
infiniband/hw/amso1100/c2_alloc.c 1 2
infiniband/hw/amso1100/c2_mq.c 0 1
infiniband/hw/amso1100/c2.c 8 0
infiniband/hw/amso1100/c2_intr.c 0 1
infiniband/hw/nes/nes_cm.c 0 1
infiniband/hw/nes/nes_hw.c 11 3
infiniband/hw/nes/nes.c 0 1
infiniband/hw/nes/nes_mgt.c 9 9
infiniband/hw/nes/nes_nic.c 7 3
infiniband/hw/nes/nes_utils.c 10 2
infiniband/hw/nes/nes_verbs.c 16 7
infiniband/hw/cxgb3/cxio_dbg.c 0 6
infiniband/hw/cxgb3/iwch_cm.c 1 1
infiniband/hw/cxgb3/cxio_resource.c 2 1
infiniband/hw/cxgb3/iwch_provider.c 4 0
infiniband/hw/cxgb3/iwch_qp.c 6 3
infiniband/hw/cxgb3/iwch_cq.c 1 0
infiniband/hw/cxgb3/cxio_hal.c 2 7
infiniband/hw/cxgb3/iwch_mem.c 1 0
infiniband/hw/cxgb4/qp.c 3 4
infiniband/hw/cxgb4/resource.c 6 3
infiniband/hw/cxgb4/cq.c 1 8
infiniband/hw/cxgb4/provider.c 1 0
infiniband/hw/cxgb4/cm.c 1 2
infiniband/hw/cxgb4/mem.c 5 0
infiniband/hw/mthca/mthca_allocator.c 2 1
infiniband/hw/mthca/mthca_reset.c 6 1
infiniband/hw/mthca/mthca_mr.c 5 4
infiniband/hw/mthca/mthca_eq.c 3 1
infiniband/hw/mthca/mthca_provider.c 5 0
infiniband/hw/mthca/mthca_qp.c 12 0
infiniband/hw/mthca/mthca_mcg.c 1 0
infiniband/hw/mthca/mthca_profile.c 5 0
infiniband/hw/mthca/mthca_cq.c 0 2
infiniband/hw/mthca/mthca_mad.c 5 0
infiniband/hw/mthca/mthca_cmd.c 7 2
infiniband/hw/mthca/mthca_memfree.c 8 2
infiniband/hw/mthca/mthca_srq.c 5 0
infiniband/hw/ehca/ehca_reqs.c 5 4
infiniband/hw/ehca/ipz_pt_fn.c 2 1
infiniband/hw/ehca/ehca_irq.c 2 4
infiniband/hw/ehca/ehca_cq.c 1 0
infiniband/hw/ehca/ehca_main.c 1 0
infiniband/hw/ehca/ehca_qp.c 3 2
infiniband/hw/ehca/ehca_pd.c 3 0
infiniband/hw/ehca/ehca_mrmw.c 13 4
infiniband/hw/ehca/hcp_if.c 2 0
infiniband/hw/ehca/ehca_uverbs.c 1 0
infiniband/hw/ehca/ehca_eq.c 1 0
infiniband/hw/ehca/ehca_sqp.c 1 0
infiniband/core/user_mad.c 3 1
