 
diff -u -p a/mmc/host/omap.c b/mmc/host/omap.c 2
diff -u -p a/mmc/host/sdricoh_cs.c b/mmc/host/sdricoh_cs.c 5
diff -u -p a/mmc/host/wbsd.c b/mmc/host/wbsd.c 2
diff -u -p a/mmc/host/msm_sdcc.c b/mmc/host/msm_sdcc.c 1
diff -u -p a/mmc/host/imxmmc.c b/mmc/host/imxmmc.c 2
diff -u -p a/net/can/flexcan.c b/net/can/flexcan.c 1
diff -u -p a/net/can/bfin_can.c b/net/can/bfin_can.c 3
diff -u -p a/net/can/c_can/c_can.c b/net/can/c_can/c_can.c 1
diff -u -p a/net/can/mcp251x.c b/net/can/mcp251x.c 1
diff -u -p a/net/can/sja1000/sja1000.c b/net/can/sja1000/sja1000.c 1
diff -u -p a/net/can/softing/softing_fw.c b/net/can/softing/softing_fw.c 1
diff -u -p a/net/ppp/ppp_generic.c b/net/ppp/ppp_generic.c 1
diff -u -p a/net/ppp/ppp_async.c b/net/ppp/ppp_async.c 1
diff -u -p a/net/ppp/ppp_mppe.c b/net/ppp/ppp_mppe.c 2
diff -u -p a/net/ppp/pppoe.c b/net/ppp/pppoe.c 5
diff -u -p a/net/usb/sierra_net.c b/net/usb/sierra_net.c 2
diff -u -p a/net/usb/hso.c b/net/usb/hso.c 3
diff -u -p a/net/usb/usbnet.c b/net/usb/usbnet.c 3
diff -u -p a/net/wan/n2.c b/net/wan/n2.c 1
diff -u -p a/net/wan/cycx_drv.c b/net/wan/cycx_drv.c 1
diff -u -p a/net/wan/cycx_x25.c b/net/wan/cycx_x25.c 1
diff -u -p a/net/wan/hdlc_fr.c b/net/wan/hdlc_fr.c 11
diff -u -p a/net/wan/dscc4.c b/net/wan/dscc4.c 3
diff -u -p a/net/wan/pc300_drv.c b/net/wan/pc300_drv.c 3
diff -u -p a/net/wan/farsync.c b/net/wan/farsync.c 1
diff -u -p a/net/wan/pc300_tty.c b/net/wan/pc300_tty.c 3
diff -u -p a/net/wan/c101.c b/net/wan/c101.c 1
diff -u -p a/net/wan/cosa.c b/net/wan/cosa.c 2
diff -u -p a/net/wan/z85230.c b/net/wan/z85230.c 2
diff -u -p a/net/wan/hdlc.c b/net/wan/hdlc.c 2
diff -u -p a/net/wan/ixp4xx_hss.c b/net/wan/ixp4xx_hss.c 1
diff -u -p a/net/wan/sdla.c b/net/wan/sdla.c 5
diff -u -p a/net/wan/wanxl.c b/net/wan/wanxl.c 1
diff -u -p a/net/caif/caif_hsi.c b/net/caif/caif_hsi.c 1
diff -u -p a/net/caif/caif_spi.c b/net/caif/caif_spi.c 1
diff -u -p a/net/caif/caif_shmcore.c b/net/caif/caif_shmcore.c 6
diff -u -p a/net/cris/eth_v10.c b/net/cris/eth_v10.c 3
diff -u -p a/net/fddi/skfp/smttimer.c b/net/fddi/skfp/smttimer.c 1
diff -u -p a/net/fddi/skfp/ecm.c b/net/fddi/skfp/ecm.c 1
diff -u -p a/net/fddi/skfp/smt.c b/net/fddi/skfp/smt.c 1
diff -u -p a/net/fddi/skfp/drvfbi.c b/net/fddi/skfp/drvfbi.c 1
diff -u -p a/net/fddi/skfp/hwmtm.c b/net/fddi/skfp/hwmtm.c 7
diff -u -p a/net/fddi/defxx.c b/net/fddi/defxx.c 2
diff -u -p a/net/irda/donauboe.c b/net/irda/donauboe.c 4
diff -u -p a/net/irda/bfin_sir.c b/net/irda/bfin_sir.c 1
diff -u -p a/net/irda/w83977af_ir.c b/net/irda/w83977af_ir.c 2
diff -u -p a/net/irda/nsc-ircc.c b/net/irda/nsc-ircc.c 2
diff -u -p a/net/irda/smsc-ircc2.c b/net/irda/smsc-ircc2.c 2
